City,2007-03-31,2012-03-31,Percent Gain
New York,779510.789593388,675329.2816392487,-13.364986007247303
Los Angeles,1119677.25093933,715248.5194033753,-36.12011686373619
Houston,260397.09687477423,242989.8036986492,-6.684902936723702
Chicago,595495.7613339624,386799.2258858264,-35.0458473424962
San Antonio,216824.5805881678,203900.22222735756,-5.960744084342773
Philadelphia,264370.9458235727,223424.01127725584,-15.488439706851409
San Diego,920407.3783339466,669227.6603057937,-27.290059156503045
Dallas,311955.81009282195,281951.926149482,-9.617991706713946
Austin,400245.3948118756,383726.7236013861,-4.127135858303532
San Jose,1071571.9702363575,747508.9739523277,-30.241832120016255
Jacksonville,320472.0389046376,193952.55165809335,-39.47910328744546
Charlotte,332438.6269747599,271852.1293228872,-18.224867008752465
Indianapolis,182856.37454286905,162661.8776662801,-11.043911882795488
Fort Worth,229990.37536652395,203549.82448227075,-11.496372768693575
San Francisco,1401326.267938147,1098084.250871111,-21.63964410038597
Tucson,386919.8637878316,232464.6555112513,-39.91917260708956
Columbus,202056.0376789173,171323.35150286974,-15.209981611578549
Louisville,233475.7711679718,219004.95865323124,-6.197993240304878
El Paso,207780.38446087227,196122.4757783849,-5.6106878003600595
Denver,472338.526698054,419346.7668981194,-11.219021274927666
Seattle,837358.6325837901,614941.9653250684,-26.561697533638984
Portland,537085.0072628794,427069.17934848,-20.483876188439474
Nashville,333418.6518272988,291845.9129420219,-12.468630251318501
Washington,769017.9723308681,709737.2703537061,-7.708623739635656
Sacramento,524257.5394827735,264300.04588207154,-49.58583787982774
Boston,705914.7894612824,645611.2447633649,-8.54260961778943
Albuquerque,315806.0092688997,258812.9232547637,-18.046865588807716
Memphis,175722.428103138,127805.1512510612,-27.268731356222997
Baltimore,279728.2754361222,192067.68294591445,-31.33776603510561
Omaha,265432.0155677979,231386.7204796437,-12.826371007026527
Atlanta,514149.3521867141,347368.5141133829,-32.43820834627144
Milwaukee,220275.87703905845,153248.7641212193,-30.428712312403672
Oklahoma City,198002.6038308161,189677.6430430829,-4.204470358807244
Raleigh,402454.2688854306,353803.2879668789,-12.088573703861371
Mesa,442890.1802633057,223165.3688612172,-49.61157894073388
Colorado Springs,375825.7765526821,334904.84603933245,-10.88827139231986
Kansas City,237571.69441780192,193201.11470699272,-18.676711390026767
Cincinnati,271810.6594861234,228890.14650328795,-15.790592268890268
Long Beach,897029.2331048893,558336.6394243141,-37.75714114781496
Virginia Beach,487821.3220002966,392043.4427663638,-19.633803385468784
Tampa,502150.2854998072,275179.6124919453,-45.1997498680998
Oakland,926707.0128937596,613881.629789523,-33.756665132747834
Tulsa,209106.32415081697,200006.27473470577,-4.351876708208902
Minneapolis,392044.708161924,290400.0567952098,-25.92680101289173
Aurora,369297.48160655407,300467.25870234513,-18.638151174163696
Spring,275634.85630851955,257939.36373157435,-6.419903786456727
Honolulu,938231.7531133424,887361.937833522,-5.42188165248284
Knoxville,291350.95312782703,262199.8426224646,-10.005496873240949
Arlington,229836.5679403958,207248.7350957432,-9.827780255799134
Baton Rouge,297369.86494939827,271996.603512529,-8.532559760615587
New Orleans,303915.4073393962,291944.0009382437,-3.939058735440637
Wichita,180218.49948801068,180599.02415099496,0.21114628302050242
Cleveland,151476.5608877025,87040.5788968156,-42.53858261190434
Anaheim,840865.916587615,517612.7758116095,-38.442887789747125
Vancouver,473275.32564677024,305299.106060598,-35.492283346193624
Marietta,412852.94114594994,344951.3601921207,-16.446917094826986
Columbia,237810.84004288985,209687.9079538124,-11.825757010910609
Greensboro,250617.70309500524,219649.42813944415,-12.356778700434223
Fort Wayne,187007.66047184015,180061.1866051257,-3.7145397408789416
Lexington,290516.56861213286,264547.53054673923,-8.938918075982361
Naples,908234.6087971051,502096.1611447923,-44.717349869569
Corpus Christi,218268.8829985301,196833.6506993758,-9.82056260364821
Saint Louis,242772.3147833642,182367.6806322916,-24.881187216497146
Santa Ana,773078.0208032778,419696.99860303104,-45.71091308909043
Durham,322541.0616756384,284402.3805188652,-11.824442121768419
Silver Spring,659440.043218079,460562.0290379344,-30.15861960848123
Saint Paul,346729.14488218195,253606.9987065591,-26.857317173976135
Spokane,341813.8429712119,264774.4902201645,-22.538394607247014
Saint Petersburg,385570.8363367999,200774.73930686727,-47.92792390255144
Irvine,1215068.9681188045,886338.9291619883,-27.05443456973171
Lincoln,248186.31106161853,232691.7452833813,-6.243118611964993
Toledo,140323.94372984592,105545.49116700288,-24.784403600998495
Chandler,553424.4010804343,308765.5869210428,-44.20817254926802
Tallahassee,365464.46090730216,254240.10574243663,-30.433699322976548
Jersey City,622343.2764130092,432968.8548285421,-30.429254844040678
Plano,430063.6209330559,408757.73266162473,-4.954124746754074
Katy,312531.7459732808,304822.9412488077,-2.466566940413195
Lawrenceville,333479.4036803948,205939.10745232188,-38.24532934283012
Chula Vista,783843.0996221531,443864.5359821022,-43.37329292098578
Boise,397168.76591489,271751.2051299818,-31.57790127227279
Richmond,341238.7736037481,272459.83473893185,-20.155663478231656
Gilbert,569122.2471272991,304502.8836074593,-46.49604981276557
Winston-Salem,234206.0250615511,208753.20192105309,-10.867706385354015
Madison,355278.1465259496,318614.59639958345,-10.31967501656853
Lakeland,286199.8452304715,158268.12782224847,-44.700135077013044
Irving,316558.2940767415,289015.60843603977,-8.700667825188846
Mobile,226394.28411979624,186653.695155708,-17.553706852006723
Pensacola,261314.98747547343,182627.5348302079,-30.112108534398928
Anchorage,408869.1455349703,408013.7290069892,-0.20921523116199658
Chesapeake,434367.54927630565,347006.2651278382,-20.112295288637238
Sarasota,575776.0615957634,325555.8843161903,-43.45789864658281
Fayetteville,208071.6393894677,212256.8862766367,2.0114451443020043
Birmingham,153254.51146286147,111488.49089149818,-27.252718482929982
Garland,200589.56676086705,180293.79938488855,-10.1180573365384
Arlington,860680.333004915,799457.2247072639,-7.1133388262633375
Scottsdale,1036007.2357031744,607932.4471945823,-41.31967169303048
Norfolk,342696.2888787549,276677.50184751087,-19.264517642501023
Ocala,328587.4533783015,169027.2283032605,-48.559439331768985
Santa Clarita,825618.5165946264,484998.6585168811,-41.2563249529186
Fremont,1299791.1344394088,944687.77564552,-27.3200323794363
Greenville,256036.19353484453,237018.8377484343,-7.427604481950755
Boca Raton,751980.992237431,438337.639826104,-41.70894685490894
Grand Rapids,208234.53667570368,158031.9541904644,-24.108672502978134
Bradenton,474938.33087694907,241835.8592385772,-49.080576673598905
Little Rock,284395.6140932241,264992.5578018997,-6.822558200550932
Gainesville,345684.1449425108,232367.7850763343,-32.78031738627227
Tacoma,504228.6749177026,320085.8209074764,-36.51971083165411
Woodbridge,600399.6876957361,404318.0392568477,-32.65851939254446
Des Moines,187355.62529425664,162645.36788646493,-13.18895942888415
Savannah,219143.58006841736,174525.71090948366,-20.360107809228932
Oxnard,798959.4307297794,429347.6585837308,-46.261644575424896
Santa Rosa,880907.9632809185,507784.9551823256,-42.35663924627337
Akron,144633.10035547926,107337.20084546832,-25.786558829441574
Wilmington,419618.0176115753,317582.9184410818,-24.31618636188867
Brownsville,166001.5595025441,158345.46021832965,-4.612064674065386
Yonkers,722179.0174170266,561256.3246803709,-22.28293662037123
Eugene,451928.8560416293,341345.3956298183,-24.469218757216204
Corona,801234.689584704,422803.2936259147,-47.231029918953936
Dayton,161127.2310856509,117600.9063846486,-27.013636619787064
Montgomery,234332.2290498794,190721.5308096644,-18.610627491164312
Alexandria,759176.4039914698,640270.2934581991,-15.662513996497541
Oceanside,703303.1077032235,438094.4911804406,-37.70900677360498
Wilmington,410953.0659108884,306450.6427957697,-25.429284213633096
Murfreesboro,271198.1335806033,243661.70438219048,-10.153620467387414
Worcester,367154.9181674228,257972.46587795587,-29.737434223795333
Fort Collins,384923.7739128293,368718.1919053262,-4.210075632058263
Salt Lake City,440635.3981246327,359722.08388610603,-18.362872021380483
Beaverton,512819.2362771877,360544.1318111856,-29.69371928624276
Frisco,511963.23343919776,488633.85147572897,-4.556847140516284
McKinney,369682.3923254817,351205.50674704905,-4.998043174900502
Sioux Falls,232959.5612248111,233816.59853777927,0.36789102300081034
Glendale,1089158.7942649417,742658.05013375,-31.813611197533444
Reading,227531.65772632355,188293.10511248428,-17.245315665495497
Huntington Beach,1252074.566940831,869969.8048821879,-30.517732102188777
Hayward,919754.6092655876,464448.3922010139,-49.50301009397822
Salem,363911.3943023784,270831.86795885407,-25.5775245845101
Clarksville,218678.1155171626,222863.52170986627,1.9139574999562203
Grand Prairie,224427.3112827152,196274.42142429808,-12.544324350503144
Charleston,509909.8282130056,366855.28064102057,-28.054871598243956
Aurora,328629.8902447739,225338.07888388413,-31.43104581386519
Cypress,331452.15871831955,317708.60916730785,-4.14646554246505
Providence,473048.6077440194,318086.286037284,-32.75822382096305
Whittier,814268.7840596769,489057.3971933173,-39.93907088577833
Overland Park,380751.380740049,369462.4512099749,-2.964908363072083
Henrico,342082.1084293124,331656.048852936,-3.047823700645491
Fredericksburg,500974.67948736966,344026.4015490634,-31.328584929463123
Chattanooga,258196.2227143336,225777.14514410397,-12.555984448346425
Cumming,455255.08426173305,354291.78040808043,-22.177303965178186
Fort Lauderdale,817069.9581925279,442169.41678976855,-45.88353024655213
Rockford,176835.1596650492,133831.46164411856,-24.318522460344273
Columbus,198391.2910614627,168886.8122394215,-14.87186189685138
Evansville,188153.03666042455,174062.22460121423,-7.489016552329786
Erie,182374.24229206875,183676.95065391043,0.714305016689476
Edmond,335131.39426124963,324062.614423414,-3.30281794763968
York,322057.3630693031,251252.2473734609,-21.98524977694912
Allentown,313391.6495430329,235957.54349724585,-24.708413947434906
Tempe,465704.315851357,254380.30266690548,-45.37729327204726
Garden Grove,849575.6317477078,513806.5790364948,-39.52197310797209
Escondido,809365.7746167871,502073.7149477138,-37.9670192768613
El Cajon,773958.7298973845,484620.3005287747,-37.38421936360506
Rancho Cucamonga,834802.4252487808,472633.9117679152,-43.38373997571164
